score_full	country	S2	S5	S26	S27	education	age
34.2	US	3	1	3	2	2	19
42.3	US	3	1	3	5	3	25
29.55	NL	3	3	2	4	3	28
28.8	GB	3	5	2	2	2	27
21.6	JO	5	4	5	5	2	18
41.65	US	3	3	3	4	4	49
12.6	US	1	4	1	1	2	30
31.3	US	1	1	1	4	4	46
28.55	US	3	3	2	4	2	47
13.65	ID	2	3	3	3	3	18
25.65	DK	4	2	2	2	3	28
38.25	AU	2	1	3	5	2	23
26.85	NZ	2	1	2	5	1	15
30.85	US	3	4	4	5	2	20
19.95	AE	2	4	2	4	1	13
27.6	SA	2	4	3	2	3	52
11.75	IN	1	2	2	1	4	26
41.3	US	3	2	3	3	4	50
38.6	IE	4	1	1	5	4	57
42.3	US	3	1	3	5	3	45
21.05	US	1	1	1	1	3	19
30.6	AU	3	1	3	3	1	51
45	US	3	1	4	4	2	72
15.3	US	3	1	1	3	2	15
22.45	US	3	1	3	1	2	42
43.65	US	2	1	1	3	2	76
8.15	US	2	3	3	2	3	21
39.3	US	2	3	2	4	4	32
30.9	IE	3	1	5	1	2	55
21.75	IE	1	1	1	1	4	25
27.5	US	2	0	2	4	2	19
32.2	US	1	1	3	3	4	40
16.65	ID	2	4	4	3	1	14
15.05	US	1	4	2	3	2	36
42.3	US	2	4	3	3	4	51
33.2	AU	1	2	1	5	2	58
4.5	DE	3	3	3	1	3	36
38.95	US	4	2	1	2	2	19
31.9	US	3	4	1	1	2	53
19.55	PL	3	5	2	5	2	29
36.25	GB	2	1	2	5	3	49
31.5	GB	1	3	3	1	2	49
42.3	GB	2	4	1	1	2	46
42.3	GB	4	5	3	5	3	58
41.65	US	1	1	3	4	4	36
19.15	GB	4	3	3	2	2	18
17.45	US	1	1	3	5	2	25
42.3	US	4	1	4	5	2	20
40.95	GB	4	1	3	4	4	57
34.3	EG	5	3	4	3	2	40
28.85	IN	5	3	2	3	4	30
40.95	GB	4	1	4	5	3	68
40.3	GB	2	5	2	2	4	25
27.95	BR	3	3	2	4	4	44
23.3	BR	2	4	1	2	3	33
40.95	US	4	1	3	5	2	53
21.5	GB	1	5	2	4	4	25
43.65	GB	4	1	1	4	3	61
19.2	HU	1	4	1	5	2	18
22.05	US	5	1	2	3	1	16
27.55	US	1	1	4	5	2	19
35.95	US	2	1	1	5	2	17
37.65	US	1	1	1	1	3	42
38.25	GB	4	2	1	4	2	62
28.3	RO	5	5	4	4	1	16
30.25	NZ	3	2	2	4	3	30
39.6	NZ	3	3	2	3	1	47
14.7	US	3	5	2	1	1	13
36.9	NZ	1	2	4	4	4	60
24.2	US	3	4	2	3	1	17
35.55	CA	1	3	2	2	3	56
40.95	US	3	3	4	4	2	33
33.25	IE	1	5	1	1	3	52
28.65	AU	4	2	4	2	2	20
17.15	FI	3	4	4	1	2	17
15.85	IN	2	4	4	4	4	20
21.55	RO	4	4	3	3	4	25
34.25	DE	3	1	3	2	3	33
36.9	GB	1	1	1	2	3	55
31.6	MX	1	2	2	3	3	36
36.6	US	1	3	1	4	3	81
34.3	GB	3	4	1	5	3	23
18.4	US	3	5	5	5	2	18
22.4	GB	4	1	3	5	2	17
32.95	IE	1	4	3	2	3	40
33.25	US	5	4	2	4	1	13
40.95	US	4	2	2	3	2	19
19.55	CA	3	5	1	2	2	18
27.9	CA	4	1	3	5	2	20
24.75	CA	4	3	3	4	2	19
33.3	CA	1	4	5	3	3	44
31.55	US	4	4	4	3	2	25
24.25	US	4	5	4	5	1	14
30.85	US	4	5	2	4	2	42
23.5	US	1	5	5	4	1	13
42.3	US	1	4	2	4	4	63
38.6	US	3	1	4	5	2	22
34.9	US	2	4	2	5	4	33
33.2	US	2	4	2	4	2	35
40.3	CA	1	2	1	4	2	47
42.3	US	5	5	2	4	3	59
29.9	US	1	3	1	3	4	53
29.25	CA	3	4	2	2	3	39
39.65	US	2	1	3	4	4	46
39.6	US	4	1	3	5	4	29
32.6	GB	3	3	3	4	3	21
41.3	BE	3	2	3	3	3	28
13.25	PH	3	4	3	1	3	18
33.25	US	3	3	1	1	2	15
